res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,0,0,0,502
0,11,458,127,200
0,11,459,118,200
0,11,23,3,200
0,0,0,0,403
0,0,0,0,502
0,11,197,18,200
0,0,0,0,502
0,13,217,27,200
0,11,14,3,200
0,13,165,42,200
0,11,73,23,200
0,0,0,0,502
0,11,183,25,200
0,11,135,27,200
0,11,70,26,200
0,11,33,8,200
0,11,89,8,200
0,0,0,0,502
0,0,0,0,502
0,11,7,4,200
0,11,33,8,200
0,0,0,0,502
0,13,42,10,200
0,11,48,19,200
0,11,12,3,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,278,57,200
1,13,184,3,200
0,0,0,0,502
1,13,195,27,200
0,11,22,5,200
0,0,0,0,502
0,11,31,7,200
0,0,0,0,502
0,11,165,19,200
0,13,12,5,200
0,11,203,34,200
0,11,20,3,200
0,11,392,34,200
0,13,10,5,200
0,13,33,7,200
0,0,0,0,502
0,11,61,4,200
0,13,97,11,200
0,13,26,7,200
1,11,18,2,200
0,11,33,8,200
0,0,0,0,502
0,11,81,20,200
0,13,97,24,200
0,11,896,195,200
0,13,94,17,200
1,13,21,7,200
0,11,46,7,200
0,11,217,31,200
1,11,213,63,200
1,11,48,13,200
0,11,33,8,200
0,11,89,8,200
0,11,33,8,200
0,13,154,50,200
0,11,137,46,200
0,13,26,7,200
1,11,18,2,200
0,11,300,76,200
1,11,75,9,200
0,11,33,8,200
0,0,0,0,502
0,11,19,8,200
0,11,40,4,200
0,11,258,67,200
0,13,139,8,200
0,13,71,7,200
0,11,375,119,200
0,11,39,14,200
0,13,513,155,200
0,11,133,28,200
0,11,34,8,200
0,13,68,19,200
0,13,31,4,200
0,0,0,0,502
0,11,412,92,200
0,13,183,21,200
0,13,47,14,200
0,0,0,0,502
0,11,168,24,200
0,13,123,41,200
0,13,74,2,200
1,11,263,70,200
0,11,121,36,200
0,11,90,13,200
0,11,11,4,200
0,0,0,0,502
0,0,0,0,400
0,0,0,0,502
0,11,33,8,200
0,11,299,55,200
1,11,41,13,200
0,11,207,66,200
1,11,43,13,200
0,11,19,7,200
1,11,40,6,200
0,11,69,6,200
0,11,47,6,200
0,11,48,7,200
0,11,67,17,200
0,11,619,178,200
0,13,73,12,200
0,11,33,8,200
0,0,0,0,0
0,0,0,0,403
0,11,54,13,200
0,11,14,9,200
0,13,68,9,200
0,0,0,0,502
0,11,485,146,200
0,11,33,8,200
0,11,366,96,200
0,11,73,23,200
0,13,44,7,200
0,11,385,89,200
0,0,0,0,404
0,13,415,77,200
0,11,13,4,200
1,13,101,22,200
0,11,49,16,200
0,11,87,11,200
0,13,157,24,200
0,13,51,4,200
0,13,127,42,200
0,11,165,7,200
0,11,54,9,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
1,13,13,8,200
0,11,734,173,200
0,11,74,4,200
0,11,33,8,200
0,11,33,8,200
0,13,41,7,200
0,13,41,7,200
0,11,396,66,200
0,0,0,0,502
0,0,0,0,403
0,0,0,0,404
0,11,143,22,200
0,11,67,17,200
0,13,175,14,200
0,0,0,0,502
0,13,56,15,200
0,11,17,2,200
0,11,10,1,200
0,11,58,4,200
0,11,5,3,200
0,11,71,18,200
0,11,78,18,200
0,11,92,10,200
0,11,22,8,200
0,11,101,23,200
0,11,33,6,200
0,11,168,28,200
1,11,63,13,200
0,0,0,0,502
0,11,30,8,200
0,0,0,0,502
0,0,0,0,502
0,11,630,153,200
0,0,0,0,403
0,11,6,1,200
0,13,76,9,200
0,11,206,37,200
0,11,481,109,200
1,11,31,11,200
0,11,49,7,200
0,0,0,0,502
1,11,54,5,200
0,13,292,94,200
0,11,128,22,200
1,11,43,7,200
0,13,140,21,200
0,11,83,20,200
0,11,74,16,200
0,11,68,12,200
0,13,22,3,200
1,11,18,2,200
0,11,77,25,200
0,13,149,21,200
0,0,0,0,400
0,11,19,8,200
1,11,214,18,200
0,11,74,17,200
1,13,218,19,200
1,11,112,21,200
0,11,83,19,200
1,13,147,14,200
0,13,27,4,200
0,13,666,164,200
0,0,0,0,502
0,13,102,21,200
0,13,54,22,200
0,0,0,0,502
0,11,293,45,200
0,11,63,6,200
0,11,75,17,200
0,11,356,90,200
0,11,94,18,200
0,11,110,18,200
0,11,62,15,200
0,11,50,8,200
0,13,247,4,200
0,0,0,0,502
0,13,99,44,200
0,11,235,40,200
1,11,61,11,200
0,11,84,14,200
0,11,59,10,200
0,13,304,9,200
1,13,103,25,200
0,11,74,30,200
0,11,30,6,200
0,13,117,20,200
0,11,33,8,200
0,11,307,75,200
1,11,16,5,200
0,0,0,0,522
0,0,0,0,502
0,11,102,46,200
0,13,81,14,200
0,11,29,9,200
0,11,157,50,200
0,11,110,46,200
0,0,0,0,502
0,11,590,175,200
0,11,36,8,200
0,11,33,8,200
0,13,60,7,200
1,11,13,6,200
0,0,0,0,504
0,11,136,3,200
1,11,19,7,200
1,11,64,10,200
0,11,165,35,200
0,13,73,10,200
0,11,204,52,200
0,13,151,26,200
0,11,77,10,200
0,11,19,7,200
0,11,108,14,200
0,11,97,12,200
0,13,139,19,200
0,11,327,95,200
0,11,177,13,200
1,11,125,14,200
0,11,140,10,200
0,11,305,49,200
0,11,85,35,200
0,11,4,2,200
0,11,100,18,200
0,11,35,5,200
0,11,106,27,200
0,0,0,0,502
0,0,0,0,502
0,11,37,9,200
0,11,91,14,200
0,11,166,66,200
0,11,86,28,200
0,0,0,0,404
0,0,0,0,502
1,13,113,17,200
1,11,13,7,200
0,11,148,14,200
0,0,0,0,502
0,11,521,143,200
0,13,22,10,200
