res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
1,11,48,15,200
0,0,0,0,502
0,11,467,127,200
0,11,519,138,200
0,11,66,5,200
0,0,0,0,403
0,0,0,0,502
0,11,443,88,200
0,0,0,0,502
0,13,272,30,200
0,11,46,11,200
0,13,195,42,200
0,11,75,23,200
0,0,0,0,502
0,11,434,34,200
0,11,263,27,200
0,11,72,26,200
0,11,38,9,200
0,11,90,8,200
0,0,0,0,502
0,0,0,0,502
0,11,7,4,200
0,11,38,9,200
0,0,0,0,502
0,13,246,54,200
0,11,123,40,200
0,11,1055,200,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,533,96,200
1,13,200,3,200
0,0,0,0,502
1,13,669,32,200
0,11,47,6,200
0,0,0,0,502
0,11,38,9,200
0,0,0,0,502
0,11,337,20,200
0,13,14,6,200
0,11,545,37,200
0,11,20,3,200
0,11,621,43,200
0,13,11,5,200
0,13,107,27,200
0,0,0,0,502
0,11,61,4,200
0,13,103,12,200
0,13,37,11,200
1,11,18,2,200
0,11,38,9,200
0,0,0,0,502
0,11,82,20,200
0,13,244,40,200
0,11,1302,211,200
0,13,97,19,200
1,13,29,8,200
0,11,47,7,200
0,11,414,38,200
1,11,842,176,200
1,11,172,41,200
0,11,38,9,200
0,11,228,9,200
0,11,38,9,200
0,13,182,61,200
0,11,183,61,200
0,13,37,11,200
1,11,18,2,200
0,11,517,91,200
1,11,91,10,200
0,11,38,9,200
0,0,0,0,502
0,11,21,8,200
0,11,43,4,200
0,11,833,118,200
0,13,139,8,200
0,13,201,55,200
0,11,1048,170,200
0,11,47,14,200
0,13,667,173,200
0,11,167,36,200
0,11,39,9,200
0,13,81,20,200
0,13,67,4,200
0,0,0,0,502
0,11,509,98,200
0,13,435,22,200
0,13,81,23,200
0,0,0,0,502
0,11,530,139,200
0,13,136,45,200
0,13,74,2,200
1,11,269,70,200
0,11,136,38,200
0,11,129,15,200
0,11,11,4,200
0,0,0,0,502
0,0,0,0,400
0,0,0,0,502
0,11,38,9,200
0,11,454,57,200
1,11,113,35,200
0,11,318,95,200
1,11,54,14,200
0,11,21,7,200
1,11,42,6,200
0,11,71,6,200
0,11,114,18,200
0,11,114,19,200
0,11,106,31,200
0,11,1032,210,200
0,13,257,43,200
0,11,38,9,200
0,0,0,0,0
0,0,0,0,403
0,11,174,22,200
0,11,40,16,200
0,13,694,160,200
0,0,0,0,502
0,11,1052,212,200
0,11,38,9,200
0,11,392,101,200
0,11,80,25,200
0,13,211,39,200
0,11,876,115,200
0,0,0,0,404
0,13,542,85,200
0,11,30,7,200
1,13,250,49,200
0,11,118,43,200
0,11,601,93,200
0,13,592,78,200
0,13,51,4,200
0,13,216,53,200
0,11,183,12,200
0,11,62,11,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
1,13,15,8,200
0,11,1197,210,200
0,11,77,4,200
0,11,38,9,200
0,11,38,9,200
0,13,76,13,200
0,13,74,13,200
0,11,494,77,200
0,0,0,0,502
0,0,0,0,403
0,0,0,0,404
0,11,312,39,200
0,11,72,20,200
0,13,175,14,200
0,0,0,0,502
0,13,57,15,200
0,11,222,25,200
0,11,82,19,200
0,11,125,39,200
0,11,30,5,200
0,11,119,25,200
0,11,121,24,200
0,11,169,11,200
0,11,25,9,200
0,11,118,24,200
0,11,38,9,200
0,11,279,55,200
1,11,69,16,200
0,0,0,0,502
0,11,35,10,200
0,0,0,0,502
0,0,0,0,502
0,11,827,185,200
0,0,0,0,403
0,11,6,1,200
0,13,100,11,200
0,11,243,44,200
0,11,856,122,200
1,11,32,11,200
0,11,114,18,200
0,0,0,0,502
1,11,89,9,200
0,13,347,112,200
0,11,148,29,200
1,11,45,7,200
0,13,320,51,200
0,11,101,28,200
0,11,113,19,200
0,11,71,13,200
0,13,37,11,200
1,11,18,2,200
0,11,94,27,200
0,13,156,27,200
0,0,0,0,400
0,11,24,9,200
1,11,227,24,200
0,11,80,20,200
1,13,257,20,200
1,11,134,27,200
0,11,83,19,200
1,13,166,20,200
0,13,28,4,200
0,13,1121,209,200
0,0,0,0,502
0,13,267,21,200
0,13,54,22,200
0,0,0,0,502
0,11,304,45,200
0,11,64,6,200
0,11,125,21,200
0,11,663,121,200
0,11,267,23,200
0,11,359,65,200
0,11,105,21,200
0,11,52,10,200
0,13,353,15,200
0,0,0,0,502
0,13,141,61,200
0,11,255,40,200
1,11,63,12,200
0,11,420,85,200
0,11,131,36,200
0,13,490,53,200
1,13,187,52,200
0,11,78,33,200
0,11,58,13,200
0,13,149,21,200
0,11,38,9,200
0,11,608,101,200
1,11,16,5,200
0,0,0,0,522
0,0,0,0,502
0,11,109,48,200
0,13,158,19,200
0,11,30,9,200
0,11,348,67,200
0,11,222,61,200
0,0,0,0,502
0,11,728,192,200
