dyn_page_len,dyn_page_tag_num,dyn_page_tech_num,dyn_page_domain_type_num,dyn_page_like_req_domain_num,dyn_page_unlike_req_domain_num,dyn_page_hidden_tag_num,dyn_page_have_copyright,dyn_page_have_redirect,dyn_res_is_redirect,dyn_res_headers_type_num,dyn_res_constitute_url_num,dyn_res_constitute_domain_type
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3
17902,8,0,2,2,0,-1,0,0,0,0,82,82
117663,805,0,74,74,0,4,0,0,0,0,366,366
0,0,0,0,0,0,0,0,0,0,0,5,5
249730,2773,0,240,240,0,0,0,0,0,0,55,55
633,1,0,0,0,0,0,0,0,0,0,3,3
26,0,0,0,0,0,0,0,0,0,0,29,29
2173,14,0,0,0,0,1,0,0,0,0,22,22
1823,14,0,0,0,0,2,0,0,0,0,14,14
0,0,0,0,0,0,0,0,0,0,0,8,8
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,54,54
-2358,10,0,0,0,0,8,0,0,0,0,671,671
0,0,0,0,0,0,0,0,0,0,0,0,0
12321,2,0,0,0,0,1,0,0,0,0,59,59
1155,34,1,0,0,0,5,0,0,0,0,17,17
0,0,0,0,0,0,0,0,0,0,0,5,5
17835,8,0,2,2,0,-1,0,0,0,0,89,89
4895,24,0,0,0,0,0,0,0,0,0,32,32
67894,1080,0,120,120,0,0,0,0,0,0,133,133
266,2,0,0,0,0,15,0,0,0,0,70,70
0,0,0,0,0,0,0,0,0,0,0,0,0
5939,42,0,3,3,0,1,0,0,0,0,228,228
53860,102,2,0,0,0,5,0,0,0,0,544,544
37277,24,0,0,0,0,2,0,0,0,0,52,52
63077,543,0,93,93,0,1,0,0,0,0,509,509
67484,229,3,3,0,3,6,0,0,0,0,317,317
45825,260,0,48,40,8,3,1,0,0,0,132,132
0,0,0,0,0,0,0,0,0,0,0,0,0
1439059,3363,0,24,14,10,136,1,0,0,0,46,46
118048,208,0,3,2,1,0,0,0,0,0,27,27
-23375,-9,0,-3,-4,1,0,0,0,0,0,272,272
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,5
214,1,0,0,0,0,1,0,0,0,0,75,75
0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0
177758,1072,1,100,61,39,0,0,0,0,0,1,1
8953,35,0,4,4,0,2,0,0,0,0,145,145
2412,2,0,0,0,0,1,0,0,0,0,179,179
0,0,0,0,0,0,0,0,0,0,0,0,0
588198,4991,1,2,0,2,0,0,0,0,0,131,131
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0
316569,1004,2,84,82,2,60,0,0,0,0,818,818
136093,167,0,2,0,2,3,0,0,0,0,61,61
6,0,0,0,0,0,0,0,0,0,0,11,11
2106,12,0,0,0,0,1,0,0,0,0,33,33
859114,7653,0,1696,1696,0,2,0,0,0,0,117,117
0,0,0,0,0,0,0,0,0,0,0,13,13
10737,83,0,12,4,8,2,0,0,0,0,67,67
0,0,0,0,0,0,0,0,0,0,0,5,5
142127,1033,0,73,73,0,-1,0,0,0,0,43,43
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
-7775,1,0,0,0,0,0,0,0,0,0,89,89
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
270220,3794,0,610,520,90,1,0,0,0,0,166,166
1469,6,0,0,0,0,0,0,0,0,0,37,37
