page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
144428,59,4,3,3,0,2,1,0
0,0,0,0,0,0,0,0,0
200615,1709,2,298,32,266,2,1,0
104524,734,2,179,14,165,1,0,0
104583,735,2,179,14,165,1,0,0
104524,734,2,179,14,165,1,0,0
200694,1710,2,298,32,266,2,1,0
104524,734,2,179,14,165,1,0,0
685701,4,0,0,0,0,0,0,0
104027,731,2,179,14,165,1,0,0
685701,4,0,0,0,0,0,0,0
685701,4,0,0,0,0,0,0,0
685701,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
26672,36,0,3,1,2,0,0,0
65042,50,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
18262,255,3,33,32,1,0,0,0
91420,214,4,0,0,0,1,0,0
91405,211,4,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
669639,542,0,4,4,0,2,1,1
294912,197,4,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
14855,172,1,30,6,24,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
165998,363,3,7,4,3,1,0,0
672745,556,0,4,4,0,2,1,1
0,0,0,0,0,0,0,0,0
2673,21,2,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
65042,50,3,0,0,0,0,0,0
65042,50,3,0,0,0,0,0,0
25659,352,6,45,43,2,0,1,0
65042,50,3,0,0,0,0,0,0
65030,50,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
673168,557,0,4,4,0,2,1,1
0,0,0,0,0,0,0,0,0
13677,66,3,3,2,1,6,1,0
65042,50,3,0,0,0,0,0,0
65042,50,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
674414,556,0,4,4,0,2,1,1
